,dealAmountYear,dealAmountMonth,buildYear,dealYear,dealMonth,dealDay,dong,apartmentName,regionalCode,areaForExclusiveUse,floor
30376,"28,053",0,2013,2021,12,19,신원동,서초포레스타7단지,11650,59.94,2
30377,"23,331",0,2013,2021,12,20,신원동,서초포레스타7단지,11650,49.39,6
30378,"23,331",0,2013,2021,12,20,신원동,서초포레스타7단지,11650,49.39,6
30379,"28,053",0,2013,2021,12,20,신원동,서초포레스타7단지,11650,59.94,5
30380,"23,331",0,2013,2021,12,20,신원동,서초포레스타7단지,11650,49.39,7
30381,"23,331",0,2013,2021,12,20,신원동,서초포레스타7단지,11650,49.39,3
30382,"27,997",0,2013,2021,12,20,신원동,서초포레스타7단지,11650,49.39,4
30383,"28,053",0,2013,2021,12,20,신원동,서초포레스타7단지,11650,59.57,5
30384,"6,875",9,2015,2021,12,20,신원동,서초 선포레,11650,21.58,4
30385,"6,347",10,2015,2021,12,20,신원동,서초 선포레,11650,19.85,1
30386,"6,510",9,2015,2021,12,20,신원동,서초 선포레,11650,20.52,3
30387,"27,997",0,2013,2021,12,21,신원동,서초포레스타7단지,11650,49.39,3
30388,"23,331",0,2013,2021,12,22,신원동,서초포레스타7단지,11650,49.39,7
30389,"34,539",0,2013,2021,12,22,신원동,서초포레스타7단지,11650,49.39,3
30390,"40,000",0,2014,2021,12,22,신원동,서초포레스타3단지,11650,84.39,12
30391,"13,067",0,2015,2021,12,23,신원동,서초포레스타6단지,11650,49.34,5
30392,"28,053",0,2013,2021,12,23,신원동,서초포레스타7단지,11650,59.94,4
30393,"23,331",0,2013,2021,12,23,신원동,서초포레스타7단지,11650,49.39,3
30394,"23,331",0,2013,2021,12,23,신원동,서초포레스타7단지,11650,49.39,6
30395,"23,331",0,2013,2021,12,24,신원동,서초포레스타7단지,11650,49.39,4
30396,"6,510",9,2015,2021,12,24,신원동,서초 선포레,11650,20.52,5
30397,"23,331",0,2013,2021,12,24,신원동,서초포레스타7단지,11650,49.39,6
30398,"23,331",0,2013,2021,12,24,신원동,서초포레스타7단지,11650,49.39,3
30399,"28,053",0,2013,2021,12,27,신원동,서초포레스타7단지,11650,59.94,4
30400,"28,053",0,2013,2021,12,27,신원동,서초포레스타7단지,11650,59.57,7
30401,"28,053",0,2013,2021,12,27,신원동,서초포레스타7단지,11650,59.94,3
30402,"23,331",0,2013,2021,12,27,신원동,서초포레스타7단지,11650,49.39,5
30403,"28,053",0,2013,2021,12,27,신원동,서초포레스타7단지,11650,59.94,3
30404,"13,067",0,2015,2021,12,30,신원동,서초포레스타6단지,11650,49.51,7
30405,"105,000",0,2014,2021,10,2,상왕십리동,텐즈힐(2구역),11200,84.95,5
30406,"130,000",0,2014,2021,10,2,상왕십리동,텐즈힐(2구역),11200,127.44,10
30407,"40,000",200,2014,2021,10,27,상왕십리동,텐즈힐(2구역),11200,84.92,17
30408,"110,000",0,2016,2021,10,1,하왕십리동,센트라스,11200,84.96,4
30409,"2,820",95,2001,2021,10,1,하왕십리동,금호베스트빌,11200,84.97,2
30410,"80,000",0,2016,2021,10,2,하왕십리동,센트라스,11200,59.93,7
30411,"15,000",160,2016,2021,10,2,하왕십리동,센트라스,11200,84.98,20
30412,"64,050",0,2016,2021,10,2,하왕십리동,센트라스,11200,59.95,9
30413,"57,500",0,1996,2021,10,2,하왕십리동,청계벽산,11200,114.46,13
30414,"80,000",0,2016,2021,10,2,하왕십리동,센트라스,11200,59.93,7
30415,"10,000",211,2015,2021,10,2,하왕십리동,텐즈힐(1단지),11200,84.96,17
30416,"10,000",211,2015,2021,10,2,하왕십리동,텐즈힐(1단지),11200,84.96,17
30417,"105,000",0,2016,2021,10,4,하왕십리동,센트라스,11200,84.96,12
30418,"90,000",0,2016,2021,10,5,하왕십리동,센트라스,11200,59.94,17
30419,"86,000",0,2004,2021,10,6,하왕십리동,왕십리풍림아이원,11200,114.928,5
30420,"37,485",0,1989,2021,10,6,하왕십리동,한신무학,11200,62.41,13
30421,"51,000",0,1996,2021,10,6,하왕십리동,청계벽산,11200,114.46,15
30422,"52,900",0,2016,2021,10,6,하왕십리동,왕십리KCC스위첸,11200,59.851,10
30423,"73,000",0,2017,2021,10,6,하왕십리동,왕십리자이,11200,59.99,14
30424,"50,000",100,2017,2021,10,6,하왕십리동,왕십리자이,11200,59.99,13
30425,"88,000",0,2017,2021,10,6,하왕십리동,왕십리자이,11200,84.99,6
30426,"64,000",0,2016,2021,10,6,하왕십리동,센트라스,11200,59.94,11
30427,"4,690",15,2020,2021,10,7,하왕십리동,왕십리지음재,11200,16.76,4
30428,"40,000",120,2017,2021,10,7,하왕십리동,왕십리자이,11200,59.99,18
30429,"61,000",0,2016,2021,10,7,하왕십리동,센트라스,11200,40.94,15
30430,"50,000",60,2004,2021,10,7,하왕십리동,왕십리풍림아이원,11200,84.417,7
30431,"48,300",0,1996,2021,10,8,하왕십리동,청계벽산,11200,84.94,12
30432,"68,250",0,2016,2021,10,8,하왕십리동,센트라스,11200,84.96,7
30433,"73,500",0,2017,2021,10,8,하왕십리동,왕십리자이,11200,59.99,14
30434,"52,000",0,2017,2021,10,8,하왕십리동,왕십리자이,11200,59.99,19
30435,"52,000",0,2017,2021,10,8,하왕십리동,왕십리자이,11200,59.99,19
30436,"50,000",110,2016,2021,10,10,하왕십리동,센트라스,11200,59.95,24
30437,"45,000",23,2017,2021,10,11,하왕십리동,왕십리자이,11200,59.99,13
30438,"61,500",0,2017,2021,10,11,하왕십리동,왕십리자이,11200,84.99,6
30439,"92,000",0,2015,2021,10,12,하왕십리동,텐즈힐(1단지),11200,84.88,1
30440,"110,000",0,2016,2021,10,12,하왕십리동,센트라스,11200,84.77,6
30441,"5,000",137,2016,2021,10,12,하왕십리동,센트라스,11200,40.94,10
30442,"5,559",7,2017,2021,10,12,하왕십리동,왕십리자이,11200,44.41,3
30443,"5,559",7,2017,2021,10,12,하왕십리동,왕십리자이,11200,44.41,6
30444,"92,000",0,2015,2021,10,12,하왕십리동,텐즈힐(1단지),11200,84.88,1
30445,"5,559",7,2017,2021,10,12,하왕십리동,왕십리자이,11200,44.41,10
30446,"3,052",16,2017,2021,10,13,하왕십리동,왕십리자이,11200,38.19,14
30447,"13,725",0,2009,2021,10,13,하왕십리동,왕십리모노퍼스주상복합,11200,38.982,19
30448,"110,000",0,2016,2021,10,13,하왕십리동,센트라스,11200,84.98,8
30449,"13,725",0,2009,2021,10,13,하왕십리동,왕십리모노퍼스주상복합,11200,38.982,18
30450,"49,000",0,2004,2021,10,14,하왕십리동,왕십리풍림아이원,11200,84.417,11
30451,"69,000",8,2015,2021,10,14,하왕십리동,텐즈힐(1단지),11200,84.96,22
